authorName,createTime,introduce,playTimes,songSheet,tags
冷门单曲酱,2018-02-27,作为一个爱晒太阳的人我唯一怕两点，雀斑和黑，其实黑也还好，一,957265,沙滩SPA：晒太阳时听的慵懒女嗓,"电子,英语"
夜空,2018-05-17,本歌单精选了国语男女说唱，主题为甜蜜的恋爱系男女对唱。节奏轻,542212,国语说唱中的男女俏皮对唱,"国语,嘻哈,甜蜜"
空白,2018-02-08,忙碌而繁琐的生活<br>让自己忘记放慢脚步<br>新春将至<,473499,另类松弛：闺蜜下午茶新品Chillout,电子
biG橘子,2018-05-28,高能迪斯科Hi-NRG起源于英国，在80年代比较流行。它是D,402590,适合蹦养生迪的高能迪斯科,跳舞
DJ顾念晨,2018-06-06,兜兜转转又是一年，送走了五月花丛的芬芳，迎来六月桃李的时光<,1660329,不畏荆棘，高考必胜！,"国语,流行,励志"
冰的唐葫芦,2018-03-21,古风合唱团，豪华带感，不服来战！,130960,自有气魄 | 五人以上古风合唱,古风
戒掉爱情戒掉你,2018-05-07,那是一个与浪漫邂逅的夜晚，鹅黄色的灯光催化了手边Burgun,1074020,深夜呢喃 · 舒适Quiet Storm,"英语,R&B"
幸福的小麻花,2017-08-02,某乎过来<br>α脑波是确实存在的，可以通过冥想和稳定自己的,2284271,增强记忆 · 背书脑波音乐,轻音乐
乌龙茶,2018-01-02,日日都有好多嘢要做，有时啲client仲好难搞掂，成个人都好,277094,心情唔好？食啖甜品，天都光晒！,"粤语,国语,治愈"
biG橘子,2018-05-23,自驾游必听的歌单，Progressive House前卫浩室,563213,音量最大 ! 极速飙车听的前卫浩室,"电子,开车"
天天困成狗,2018-01-26,古典音乐给人的印象一直是严肃高雅的，其实在古典音乐中也有很多,281386,这很可以！原来古典乐也这么调皮,"古典,乐器"
还不是因为你长得不好看,2018-03-13,缘是美丽的邂逅，爱是心跳的感觉，情是心灵的交会，恋是甜蜜的思,526382,恋爱粘合剂：高浓度的甜蜜情愫,"国语,流行,甜蜜"
野蔷薇,2018-03-09,醒时捕光，睡时捉梦，遇见你三生有幸。<br>标题来自《捕梦》,495104,似幻还真，忘川拾梦 • 古风,"国语,古风"
约翰大叔不约汤欧巴,2018-03-15,歌单里挑选的都是关于前任的电影歌曲。<br>特别声明：由于前,3012505,关于前任电影，都有这些歌,"流行,宣泄,影视"
冷门单曲酱,2017-12-05,emmm…<br>17.11.23晚凌晨3:43被噩梦吓醒！,1296182,被噩梦惊醒？听温柔日系睡回笼觉,"日语,安静"
被嫌弃的唐唐的一生,2018-01-09,小确丧吃货们必备、这些和吃有关的歌曲在欣赏歌曲的同时也被歌曲,1428662,如何用“ 吃 ”干掉生活中的小确丧,"国语,治愈,快乐"
卡哇伊多多_南西洋,2017-11-01,我的老妈，简直是家里的“戏精”哈哈，说实话老妈的节奏感还是不,581741,复古爵士：听着想尬舞的俏皮舞曲,"爵士,跳舞,快乐"
。。。,2018-03-02,中国民间传统器乐丝竹乐的一种，流行于江苏南部和浙江一带。辛亥,43681,传统器乐：丝竹谱响的江南风光,中国传统
古典指弹大湿,2018-05-28,留声机奖（英语：Gramophone&#160;Awards,61114,留声机古典音乐大奖之年度艺术家,"古典,乐器"
谈谈心恋恋爱 *,2018-05-29,《拜托了冰箱第四季》是腾讯视频出品的一档明星美食脱口秀节目。,65642,《拜托了冰箱》第四季BGM,背景音乐
野蔷薇,2018-03-06,作为“钢琴之王”的李斯特，出生于匈牙利雷汀，匈牙利著名作曲家,150472,“钢琴之王”李斯特作品的不同演绎,"古典,乐器"
